Latitude,Longitude
34.063362,-118.3451
34.063362,-118.3451
34.685,-118.78667
38.00867,-121.25781
34.063362,-118.3451
36.76875,-120.36786
36.76875,-120.36786
34.0314,-118.84328
34.0314,-118.84328
34.0314,-118.84328
36.48865,-119.28402
36.48865,-119.28402
37.70279,-122.48501
34.029457,-118.754086
34.055,-118.95556
34.029457,-118.754086
34.029457,-118.754086
34.029457,-118.754086
34.029457,-118.754086
34.16207,-116.05811
34.029457,-118.754086
34.029457,-118.754086
34.315381,-119.118321
34.315381,-119.118321
34.315381,-119.118321
34.315381,-119.118321
34.315381,-119.118321
34.315381,-119.118321
39.24646,-123.18779
35.047352,-120.546507
34.685,-118.78667
34.685,-118.78667
35.047352,-120.546507
34.685,-118.78667
35.096976,-119.408901
36.13373,-118.81568
35.207824,-120.628039
34.19167,-119.00302
38.66169,-121.7136
38.66169,-121.7136
34.450025,-118.423397
34.19167,-119.00302
38.66169,-121.7136
37.9577,-121.29078
36.849475,-121.544972
36.849475,-121.544972
32.79211,-117.254124
39.06506,-121.55068
36.254923,-119.644351
37.66838,-119.81175
37.389552,-120.707869
34.088873,-118.389772
33.46944,-118.53139
33.46944,-118.53139
33.83694,-118.24028
37.42413,121.13977
35.609921,-121.144195
34.056352,-118.088318
38.19118,-120.49166
33.81528,-118.16694
38.490532,-121.088797
38.490532,-121.088797
38.19118,-120.49166
38.490532,-121.088797
34.404252,-119.47855
38.97962,-121.37551
38.293152,-120.927743
38.293152,-120.927743
38.293152,-120.927743
35.18224,-120.73327
37.9577,-121.29078
37.65637,-119.72624
36.13373,-118.81568
39.157593,-121.522674
39.326667,120.4025
38.59316,-121.67089
38.59316,-121.67089
39.326667,120.4025
37.65637,-119.72624
39.326667,120.4025
39.326667,120.4025
36.48221,-120.32065
39.326667,120.4025
36.963421,-122.035383
36.963421,-122.035383
41.278084,-122.302111
41.278084,-122.302111
41.278084,-122.302111
36.963421,-122.035383
39.326667,120.4025
37.61373,-121.01177
39.326667,120.4025
34.42583,-118.47944
37.428163,-120.64404
37.61373,-121.01177
37.92487,-120.635969
37.61373,-121.01177
37.44709,-120.9627
34.062445,-118.352234
37.854956,-121.219194
32.665794,-117.088116
33.80972,-118.23889
34.19167,-119.00302
33.923016,-116.440471
34.19167,-119.00302
34.19167,-119.00302
34.035694,-118.710344
34.035694,-118.710344
39.05587,-121.63253
39.479464,-121.754444
39.05587,-121.63253
34.4041,-118.8069
38.24245,-121.51539
33.836821,-118.376457
33.836821,-118.376457
33.836821,-118.376457
34.4041,-118.8069
37.10411,-119.31763
37.10411,-119.31763
36.509692,-121.448329
39.796981,-122.12242
34.050833,-118.459167
36.53685,-119.34629
37.87862,-120.46142
37.87862,-120.46142
37.87862,-120.46142
35.18687433,-118.8471472
34.3904,-118.2853
33.445,-118.483333
33.97582,-118.38984
32.762897,-117.231191
34.3904,-118.2853
38.69158,-121.59136
35.65833,-120.68333
35.65833,-120.68333
35.65833,-120.68333
38.39232,-120.8028
